Subj,Device,Ratio,Wear Time (Waist)
24,KAFO,0.690846287,30.6
24,KAFO,0.373668189,41.7
24,KAFO,0.711796247,2.2
24,KAFO,9.961165049,27
24,KAFO,2.028649386,13.8
24,KAFO,0.738138138,28.3
24,KAFO,0.537621359,29.2
24,KAFO,0.713643927,33.6
24,KAFO,0.450211501,42.4
24,KAFO,0.566121843,0
24,KAFO,0.560419517,13.4
24,KAFO,1.474563953,24.2
24,KAFO,0.164317181,28.2
24,KAFO,9.190045249,18.3
24,KAFO,0.434700316,41
24,KAFO,1.378277154,16.9
24,KAFO,0.821428571,25.1
24,KAFO,1.568881686,10.8
24,KAFO,0.606563561,50.2
22,KAFO,0.584196891,33
22,KAFO,0.385714286,24.2
22,KAFO,0.442934783,14
22,KAFO,0.944444444,33.5
22,KAFO,0.266569201,28.3
22,KAFO,1.369369369,28.7
22,KAFO,0.503919373,24.4
22,KAFO,0.650214592,5.4
22,KAFO,0.566998893,22.9
22,KAFO,0.658898305,17.2
22,KAFO,0.624293785,21.7
21,KAFO,0.69900434,45.4
21,KAFO,0.623488774,54.7
21,KAFO,0.96969697,32.9
21,KAFO,0.541245791,57.4
21,KAFO,0.847708895,51
21,KAFO,0.695469256,50.1
21,KAFO,0.542977619,41.1
21,KAFO,0.743620178,44.8
21,KAFO,0.620669578,50.6
21,KAFO,0.702430847,49
21,KAFO,0.962162162,45.6
21,KAFO,0.658274486,56.5
21,KAFO,4.380952381,19
21,KAFO,0.389257294,46.8
21,KAFO,0.522237197,42.2
21,KAFO,0.574579832,41.8
21,KAFO,1.560570071,62.9
21,KAFO,0.593539704,45.6
21,KAFO,0.914748508,0
21,KAFO,0,36.3
21,KAFO,0,0
21,KAFO,0,31.7
21,KAFO,0,45.1
21,KAFO,0,55
21,KAFO,0,58.8
21,KAFO,0,52.9
21,KAFO,0,62.6
21,KAFO,0,60.6
21,KAFO,0,51.8
21,KAFO,0,46.3
21,KAFO,0,48.6
21,KAFO,0,51.9
21,KAFO,0,49
21,KAFO,0,60.6
21,KAFO,0,43.3
15,KAFO,0.243801653,64.9
15,KAFO,0.148924435,66.2
15,KAFO,0.151892172,53.8
15,KAFO,0.158617634,49.4
15,KAFO,0.200407807,60.2
15,KAFO,0.257361377,64.3
15,KAFO,0.143161256,66.3
15,KAFO,0.203267477,51.5
15,KAFO,0.185006878,63.3
15,KAFO,0.1494376,49.2
15,KAFO,0.185505925,55.6
15,KAFO,0.18622101,64.1
15,KAFO,0.135703555,59.7
15,KAFO,0.145420792,59.5
15,KAFO,0.232389252,59.6
15,KAFO,0.144077237,64.2
15,KAFO,0.130687319,42.1
15,KAFO,0.125552051,64.7
15,KAFO,0.186987952,56.4
15,KAFO,0.17995356,60.9
15,KAFO,0.168399168,59.9
15,KAFO,0.254408061,59.6
15,KAFO,0.278249788,61
15,KAFO,0.21043956,62.1
15,KAFO,0.166927491,63.3
15,KAFO,0.157164291,63.3
15,KAFO,0.158819396,56.6
15,KAFO,0.158089596,62.2
15,KAFO,0.249430153,59.2
15,KAFO,0.112324493,21.3
15,KAFO,1.688705234,62.1
15,KAFO,0.965250965,64.7
15,KAFO,0.816986301,21.8
11,KAFO,0.163068443,57.9
31,KAFO,0.342207289,55.1
31,KAFO,0.367655614,65.1
31,KAFO,0.411170757,49.9
31,KAFO,0.411010391,59
31,KAFO,0.439553219,57
31,KAFO,0.424484931,59.3
31,KAFO,0.429753521,52.6
31,KAFO,0.431782458,58.8
31,KAFO,0.401843467,45.5
31,KAFO,0.392623942,46.3
31,KAFO,0.564307294,39.8
31,KAFO,0.539974348,30.6
31,KAFO,0.46087972,45.8
31,KAFO,0.447636701,8.8
31,KAFO,0.381874516,54
31,KAFO,0.411400567,34.4
31,KAFO,0.733933934,39.9
31,KAFO,0.439811701,52.4
31,KAFO,0.795250896,46.7
31,KAFO,0.925707049,43.2
31,KAFO,0.531498016,56.9
31,KAFO,0.603393425,51.3
31,KAFO,0.526973837,48.3
31,KAFO,0.565766551,55.6
31,KAFO,1.091617934,33
31,KAFO,0.876551724,30.8
31,KAFO,0.541841355,56.1
31,KAFO,0.507351374,40.8
31,KAFO,#DIV/0!,0
31,KAFO,0.513746274,47.3
31,KAFO,0.713445603,38.7
31,KAFO,1.304740406,11.6
31,CBR,0.765227021,46.4
31,CBR,0.651827243,49.8
31,CBR,0.702972652,57.9
31,CBR,0.491277041,61
31,CBR,0.588416197,47.7
31,CBR,0.528410579,54.1
31,CBR,0.689864865,42.2
31,CBR,0.522109534,55.5
31,CBR,0.523255814,55.2
31,CBR,0.567958898,60.6
31,CBR,0.584924292,62.6
31,CBR,0.481799798,52.9
31,CBR,0.719033233,44.4
31,CBR,3.628571429,15.9
31,CBR,2.656108597,15.3
31,CBR,1.651718984,12.9
31,CBR,0.464285714,3.9
30,SCO,0.638548057,87.8
30,SCO,0.824537354,56.2
30,SCO,0.70189099,52
30,SCO,0.659547739,31.3
30,SCO,0.565591959,69.3
30,SCO,0.61667514,62.2
30,SCO,463,0.4
30,SCO,0.63022744,61.5
30,SCO,17.84848485,6.6
30,SCO,0.686315496,64.4
30,SCO,0.622686182,68.8
30,SCO,0.683918989,54.7
30,SCO,5.458333333,11.5
30,SCO,0.906779661,26.9
30,KAFO,0.815575987,67.4
30,KAFO,0.791710388,67.2
30,KAFO,0.804231831,62.6
30,KAFO,0.832581042,56.9
30,KAFO,0.754214123,59.7
30,KAFO,0.743770846,55.8
30,KAFO,0.772318339,62.3
30,KAFO,0.874166835,62.4
30,KAFO,0.789997075,72.6
30,KAFO,0.75732788,69.9
30,KAFO,1.468646865,3.3
30,KAFO,0.702537594,61.9
30,KAFO,0.669884503,58.3
30,KAFO,0.703952764,68
30,KAFO,0.736796686,60
30,KAFO,0.70252135,62.1
30,KAFO,15,0.3
30,KAFO,0.721913876,65.7
30,KAFO,0.702181562,48.7
30,KAFO,0.69312244,59.9
30,KAFO,0.791257023,61.3
30,KAFO,0.717527479,66.3
30,KAFO,0.681860902,56.1
30,KAFO,0.594366703,51.3
30,KAFO,1.702441794,34.7
30,KAFO,1.949033392,24.6
30,CBR,0.82642663,75.4
30,CBR,0.875,4
30,CBR,0,0.4
30,CBR,0.761963696,62.9
30,CBR,0.812791655,64.7
30,CBR,0.788431401,66.8
30,CBR,0.669184626,50.6
30,CBR,0.7995338,53.3
30,CBR,0.72182219,65.6
30,CBR,0.646766169,63.7
30,CBR,0.736906962,73.4
30,CBR,0.693662611,71.2
30,CBR,0.799131807,52.2
30,CBR,6.401162791,5
30,CBR,0.950629895,47.4
30,CBR,0.727773074,65.2
30,CBR,0.716451981,66.8
30,CBR,0.702873161,60.1
30,CBR,0.71656333,71.3
30,CBR,0.741748217,53.5
30,CBR,0.797064893,52.7
30,CBR,0.791638571,49.9
30,CBR,0.720619888,65.8
30,CBR,0.722056281,73.1
30,CBR,0.767104112,71.7
30,CBR,0.712701613,15.5
11,SCO,1.01088647,39.8
11,SCO,0,22.3
11,SCO,0,17.3
11,SCO,0,31.6
11,SCO,0,38.1
11,SCO,0,21.1
11,SCO,0,19.5
11,SCO,0.616853933,65.1
11,SCO,0,46.7
11,SCO,0.314606742,35.1
11,SCO,0.095238095,34.9
11,SCO,0.11908646,31.5
11,SCO,0.132827325,27.8
11,SCO,0.147751606,31.5
11,SCO,0,33.3
11,SCO,0,20.6
11,SCO,0,38.2
11,SCO,0.093301435,40.7
11,SCO,0.03814262,20.9
11,SCO,0,13.6
11,SCO,0,17.4
11,SCO,0,9
11,CBR,0.029147982,16.3
11,CBR,0.663307375,62.8
11,CBR,1.566958698,21.9
11,CBR,1.025641026,52.9
11,CBR,0.920634921,49.7
11,CBR,0.580540541,51.5
11,CBR,0.77852349,41
11,CBR,0.738083538,33.4
11,CBR,1.359843546,80.3
11,CBR,1.080199115,68.3
11,CBR,3.991097923,55.8
11,CBR,3.958997722,35.4
11,CBR,49.125,34.1
11,CBR,1.260135135,3.1
11,CBR,1.068113772,28.3
11,CBR,1.998069498,39.2
11,CBR,2.352739726,22.9
11,CBR,3.736842105,24.6
11,CBR,3.357293869,38.7
11,CBR,3.751082251,29.2
11,CBR,1.087459807,18.5
11,CBR,1.123303167,45.1
11,CBR,1.843137255,37.2
11,CBR,4.873786408,29.7
11,CBR,2.602040816,22.5
11,CBR,1.182410423,37.7
14,SCO,0,47.8
14,SCO,0,0.2
14,SCO,1.337004405,11
14,SCO,0,0.8
14,SCO,0,0.2
14,SCO,0,40.8
14,SCO,0,38.3
14,SCO,0,49.1
14,SCO,0,48.8
14,SCO,0.147218453,35.6
14,SCO,0,41.7
14,SCO,0,0.4
14,SCO,0,2.2
14,SCO,0,1.5
14,SCO,0,11.1
15,CBR,0.466703663,66.6
15,CBR,0.546214584,58.1
15,CBR,0.337612769,53.5
15,CBR,0.45465587,50.3
15,CBR,0.333619948,57.7
15,CBR,0.25912137,59.5
15,CBR,0.331345826,61.7
15,CBR,0.295870007,58.8
15,CBR,0.356980273,60.2
15,CBR,0.224032587,59.9
15,CBR,0.257014925,58.7
15,CBR,0.470056497,60.3
15,CBR,0.283114993,53.6
15,CBR,0.334300451,62.2
15,CBR,0.358788396,15.3
15,CBR,0.438511327,74.2
15,CBR,0.363234111,56
15,CBR,0.214990138,58.8
15,CBR,0.256703079,53
15,CBR,0.532741867,58.5
15,CBR,0.384353742,47.7
15,CBR,0.445616883,49.1
15,CBR,0.462873285,58.3
15,CBR,0.333333333,62.6
15,CBR,0.412782956,65.1
15,CBR,0.29790795,63.7
15,CBR,0.25,53.5
15,CBR,0.417837079,52.9
15,CBR,0.579365079,61.5
15,CBR,0.212075848,60.1
15,CBR,0.348611111,51.3
15,CBR,0.640326976,65.6
16,SCO,0.76515764,34.4
16,SCO,0.853688779,27.3
16,SCO,0.834135902,53.6
16,SCO,0.785305344,34.9
16,SCO,0.750544662,36.6
16,SCO,1.254591837,45.1
16,SCO,0.803553801,53.1
16,SCO,0.708896573,57.4
16,SCO,0.880587058,45.4
16,SCO,0.846306724,41.3
16,SCO,0.920533643,42.6
16,SCO,0.78277635,46
16,SCO,0.839068474,52
16,SCO,1.239258635,26.6
16,SCO,0.637509648,53.2
16,SCO,0.823817292,21.4
16,SCO,0.578193394,71.6
16,SCO,0.675757576,34
16,SCO,0.780895267,33.6
16,SCO,0.937678402,64.9
16,SCO,1.920609463,26.5
16,SCO,340.75,20.2
16,SCO,0.655319149,0
16,SCO,0.786557675,29.3
16,SCO,1.078714859,48.5
16,SCO,0.918382087,23.9
16,SCO,0.773161414,41.5
16,SCO,1.063327032,38.7
16,SCO,0.789097408,26.9
16,SCO,1.364182692,37.6
16,SCO,0.753806164,31.1
16,CBR,0.661322645,100
16,CBR,0,3.8
16,CBR,0.636981865,42.8
16,CBR,0.593739538,61.3
16,CBR,0.738660907,54.5
16,CBR,0.744230769,40.7
16,CBR,0.660714286,34.9
16,CBR,0.639289483,49.2
16,CBR,0.699699224,48.1
16,CBR,0.942472058,35.6
16,CBR,0.567209776,25.7
16,CBR,0.931684335,39.4
16,CBR,2.511839709,17.7
16,CBR,0.736396075,53
16,CBR,0.720520353,32.7
16,CBR,0.697068404,41
16,CBR,0.828935666,57.2
16,CBR,0.941778405,48.9
16,CBR,1.01713654,54.8
16,CBR,0.864953169,63.9
16,CBR,0.728932584,52.3
16,CBR,0.791377983,73.3
16,CBR,1.046296296,56
16,CBR,0.774891775,52.7
16,CBR,0.808983666,68.7
16,CBR,0.661507738,68.3
16,CBR,0.908327502,55.6
16,CBR,0.906598661,86.3
16,CBR,0.612180408,66.3
16,CBR,0.831685964,84
16,CBR,0.68715847,65.3
17,SCO,0.989635653,55.4
17,SCO,1.085362319,64.2
17,SCO,1.040407631,60.4
17,SCO,0.681355296,58.9
17,SCO,0.952228663,36
17,SCO,1.304603604,47.4
17,SCO,0.916752803,44.1
17,SCO,0.842478245,60
17,SCO,1.11575663,24.6
17,SCO,1.62962963,0.2
17,SCO,1.089515673,64.2
17,SCO,0.732020548,35.9
